"actor","channel_id","username","view_count","video_count","subscribers"
"Frente Brasil Popular","UCX2Aanu4fGewmhP4rf5GQ3Q","","1856","6","297"
"Frente Povo Sem Medo","","","","",""
"# Ocupa Política","","","","",""
"Movimento Agora!","UC5AH5khzIk15T0waSp-ayCg","","7304","103","172"
"Movimento Muitxs","UCVoyVm_HowbEYG7Wqptx5eA","","3732","4","91"
"Bancada Ativista","","","","",""
"RenovaBR","","","","",""
"Frente Nacional Contra a censura","","","","",""
"Frente Autônoma LGBT","","","","",""
"Frente Nacional pela legalização do aborto","","","","",""
"Mídia Ninja","UCwefw3viiiaxprsV6jgJvEA","midianinjafly","2142880","412","47300"
"342 Artes","UCZFvLA3k9cw7nO-4r4FSOwA","","311173","180","4339"
"MTST - Movimento 
Trabalhadores Sem-Teto","","","","",""
"MST - Movimento dos
Trabalhadores Sem Terra","","","","",""
"MPL - Movimento Passe Livre","","","","",""
"MLB - Movimento de Luta
nos Bairros, Vilas e Favelas","","","","",""
"UNE - União Nacional dos Estudantes","UCI9UhLCYUB8v82jdVvJMnuA","uneoficial","317208","427","2921"
"CUT - Central Única dos
Trabalhadores","","","","",""
"Levante Popular da Juventude","UCmo_qwwtofscJjjND_Pm-UA","","213212","156","2701"
"Juntos","UCmZp0eVq7fpxKHHvncJHSrg","jornaljuntos","195924","242","953"
"MAIS","UCXrqijOy0tezQ8_-0OCqAPw","","12449","41","257"
"Movimento Correnteza","UCH2R0pAFyqnCtp253XVYq-w","","1192","1","77"
"UJS - União da Juventude Socialista","UCz0799M83kYvb6qBkHxTWFQ","","76277","56","1312"
"UJR Brasil","","","","",""
"Movimento de Mulheres Olga
Benário - Nacional","","","","",""
"Faísca - Anticapitalista e Revolucionária","","","","",""
"Pão e Rosas Brasil","UCDyMmoCj1jvF8ooGs_SQbJg","","278","7","2"
"MRT - Movimento Revolucionário
dos Trabalhadores","","","","",""
"UBES - União Brasileira 
Estudantes Secundaristas","","","","",""
"União da Juventude Comunista
 - UJC Brasil","","","","",""
"RUA - Juventude Anticapitalista","UCTSv82hMEIFnJjCOHzizVzw","","7335","4","95"
"Afronte","","","","",""
"União Brasileira de Mulheres UBM","","","","",""
"Movimento dos Atingidos 
por Barragens (MAB)","","","","",""
"Contag","UCfi7PCkseJNwGbaD0X-mAXA","ContagBrasil","74471","193","592"
"Geledés Mulher Negra","UCO9-aYrQfWP1Mm0A0hJdbMA","","132","1","264"
"Marcha das Mulheres","UCh0Eth5qo5-S1IMigJhTLdg","mulheresemmarcha","312102","120","807"
"Não Me Khalo","UCLMp2AgzSZrEZhz1XzJXeXw","","157466","30","3079"
"Vem Pra Rua","UCNORbWRHIwZuCiHz2Ukh6Nw","","73512","80","1930"
"Revoltados Online","UCVo8EvHIDfSaBQT3gSFUyxQ","revoltadosonline","7582761","869","42209"
"Estudantes Pela Liberdade","UCWU5PdQ9Ec5eZleRm6Qd-Ig","libertarianismoplus","5264654","778","44472"
"Escola Sem Partido","UCTLIxRJaYAtf44baTh0MN6A","","92891","5","693"
"Instituto Mercado Popular","","","","",""
"Libertarianismo +","","","","",""
"Movimento Brasil Livre","UC8QAdpiEWAOg3AOCCFDCOYw","","34894531","1123","303256"
"Movimento Contra a Corrupção","UCvo3PC2zBfG1IsCWVJVn6pw","canalcontracorrupcao","1668427","70","27100"
"Livres","","","","",""
"Nas Ruas","UCX9VzlP1DyeasSivEr9Eddw","nasruastv","2247934","705","20455"
"Lula","UCs6avCwreiI6QoFR83Ul2UQ","icidadania","2471974","269","9896"
"Fernando Haddad","","","","",""
"Ciro Gomes","UCz0i4BaFbRuLun82sl5yWLw","","1542336","132","18122"
"Dória","","","","",""
"Alckmin","","","","",""
"Bolsonaro","UC8hGUtfEgvvnp6IaHSAg1OQ","jbolsonaro","37260821","755","518313"
"Henrique Meirelles","","","","",""
"Temer","UCI1scpqZalSY96yDKAp0afQ","MichelTemer","420288","981","0"
"Marina Silva","UC9uefWa6TXIPDRWGZYMcTuA","msilvaonline","4280899","872","13278"
"Levy Fidelix","UCHn-xluSQGIiknQ56iNTNdA","","222909","344","2846"
"Everaldo","UClHDtWJ0HwBMD6j36C24w9A","BlogdoEveraldo","170296","137","491"
"Flávio Rocha","","","","",""
"Roberto Justus Ofici","UCLWVlQxY7Dc4OFhc08Qjf9A","robertoljustus","419706","23","1876"
"Guilherme Boulos","UCFwzvNKpQWKMbiOHJ26IEnQ","","6367","43","454"
"Jaques Wagner","","","","",""
"Fernando Collor de Mello","UCz05q_SCq3cTuH4DPaw8OSw","adicollor","298586","312","873"
"Celso Amorim","","","","",""
"Cristovam Buarque","UCnBgXZ4kWgrOY-6PA1A6PmQ","cristovambuarque","340702","305","2283"
"Joaquim Barbosa","","","","",""
