"username","view_count","subscribers","actor","video_count","channel_id"
"","1857","298","Frente Brasil Popular","6","UCX2Aanu4fGewmhP4rf5GQ3Q"
"","","","Frente Povo Sem Medo","",""
"","","","# Ocupa Política","",""
"","7389","173","Movimento Agora!","106","UC5AH5khzIk15T0waSp-ayCg"
"","3737","90","Movimento Muitxs","4","UCVoyVm_HowbEYG7Wqptx5eA"
"","","","Bancada Ativista","",""
"","","","RenovaBR","",""
"","","","Frente Nacional Contra a censura","",""
"","","","Frente Autônoma LGBT","",""
"","","","Frente Nacional pela legalização do aborto","",""
"midianinjafly","2150053","47466","Mídia Ninja","412","UCwefw3viiiaxprsV6jgJvEA"
"","311551","4344","342 Artes","180","UCZFvLA3k9cw7nO-4r4FSOwA"
"","","","MTST - Movimento 
Trabalhadores Sem-Teto","",""
"","","","MST - Movimento dos
Trabalhadores Sem Terra","",""
"","","","MPL - Movimento Passe Livre","",""
"","","","MLB - Movimento de Luta
nos Bairros, Vilas e Favelas","",""
"uneoficial","317426","2919","UNE - União Nacional dos Estudantes","427","UCI9UhLCYUB8v82jdVvJMnuA"
"","","","CUT - Central Única dos
Trabalhadores","",""
"","213412","2707","Levante Popular da Juventude","156","UCmo_qwwtofscJjjND_Pm-UA"
"jornaljuntos","195962","954","Juntos","242","UCmZp0eVq7fpxKHHvncJHSrg"
"","12464","257","MAIS","41","UCXrqijOy0tezQ8_-0OCqAPw"
"","1197","77","Movimento Correnteza","1","UCH2R0pAFyqnCtp253XVYq-w"
"","76371","1318","UJS - União da Juventude Socialista","56","UCz0799M83kYvb6qBkHxTWFQ"
"","","","UJR Brasil","",""
"","","","Movimento de Mulheres Olga
Benário - Nacional","",""
"","","","Faísca - Anticapitalista e Revolucionária","",""
"","278","2","Pão e Rosas Brasil","7","UCDyMmoCj1jvF8ooGs_SQbJg"
"","","","MRT - Movimento Revolucionário
dos Trabalhadores","",""
"","","","UBES - União Brasileira 
Estudantes Secundaristas","",""
"","","","União da Juventude Comunista
 - UJC Brasil","",""
"","7335","95","RUA - Juventude Anticapitalista","4","UCTSv82hMEIFnJjCOHzizVzw"
"","","","Afronte","",""
"","","","União Brasileira de Mulheres UBM","",""
"","","","Movimento dos Atingidos 
por Barragens (MAB)","",""
"ContagBrasil","74569","593","Contag","193","UCfi7PCkseJNwGbaD0X-mAXA"
"","204","295","Geledés Mulher Negra","1","UCO9-aYrQfWP1Mm0A0hJdbMA"
"mulheresemmarcha","312263","806","Marcha das Mulheres","120","UCh0Eth5qo5-S1IMigJhTLdg"
"","157661","3083","Não Me Khalo","30","UCLMp2AgzSZrEZhz1XzJXeXw"
"","73561","1933","Vem Pra Rua","80","UCNORbWRHIwZuCiHz2Ukh6Nw"
"revoltadosonline","7587138","42236","Revoltados Online","869","UCVo8EvHIDfSaBQT3gSFUyxQ"
"libertarianismoplus","5266916","44477","Estudantes Pela Liberdade","778","UCWU5PdQ9Ec5eZleRm6Qd-Ig"
"","93132","694","Escola Sem Partido","5","UCTLIxRJaYAtf44baTh0MN6A"
"","","","Instituto Mercado Popular","",""
"","","","Libertarianismo +","",""
"","35148655","304705","Movimento Brasil Livre","1126","UC8QAdpiEWAOg3AOCCFDCOYw"
"canalcontracorrupcao","1670598","27147","Movimento Contra a Corrupção","70","UCvo3PC2zBfG1IsCWVJVn6pw"
"","","","Livres","",""
"nasruastv","2258018","20749","Nas Ruas","707","UCX9VzlP1DyeasSivEr9Eddw"
"icidadania","2472516","9920","Lula","269","UCs6avCwreiI6QoFR83Ul2UQ"
"","","","Fernando Haddad","",""
"","1545900","18171","Ciro Gomes","132","UCz0i4BaFbRuLun82sl5yWLw"
"","","","Dória","",""
"","","","Alckmin","",""
"jbolsonaro","37333156","519194","Bolsonaro","758","UC8hGUtfEgvvnp6IaHSAg1OQ"
"","","","Henrique Meirelles","",""
"MichelTemer","420482","0","Temer","980","UCI1scpqZalSY96yDKAp0afQ"
"msilvaonline","4282237","13291","Marina Silva","872","UC9uefWa6TXIPDRWGZYMcTuA"
"","223015","2850","Levy Fidelix","344","UCHn-xluSQGIiknQ56iNTNdA"
"BlogdoEveraldo","170362","491","Everaldo","137","UClHDtWJ0HwBMD6j36C24w9A"
"","","","Flávio Rocha","",""
"robertoljustus","419886","1877","Roberto Justus Ofici","23","UCLWVlQxY7Dc4OFhc08Qjf9A"
"","8419","524","Guilherme Boulos","46","UCFwzvNKpQWKMbiOHJ26IEnQ"
"","","","Jaques Wagner","",""
"adicollor","298833","875","Fernando Collor de Mello","312","UCz05q_SCq3cTuH4DPaw8OSw"
"","","","Celso Amorim","",""
"cristovambuarque","340864","2283","Cristovam Buarque","305","UCnBgXZ4kWgrOY-6PA1A6PmQ"
"","","","Joaquim Barbosa","",""
