"video_count","channel_id","actor","username","view_count","subscribers"
"6","UCX2Aanu4fGewmhP4rf5GQ3Q","Frente Brasil Popular","","1857","298"
"","","Frente Povo Sem Medo","","",""
"","","# Ocupa Política","","",""
"106","UC5AH5khzIk15T0waSp-ayCg","Movimento Agora!","","7418","172"
"4","UCVoyVm_HowbEYG7Wqptx5eA","Movimento Muitxs","","3737","90"
"","","Bancada Ativista","","",""
"","","RenovaBR","","",""
"","","Frente Nacional Contra a censura","","",""
"","","Frente Autônoma LGBT","","",""
"","","Frente Nacional pela legalização do aborto","","",""
"414","UCwefw3viiiaxprsV6jgJvEA","Mídia Ninja","midianinjafly","2154697","47549"
"180","UCZFvLA3k9cw7nO-4r4FSOwA","342 Artes","","311704","4345"
"","","MTST - Movimento 
Trabalhadores Sem-Teto","","",""
"","","MST - Movimento dos
Trabalhadores Sem Terra","","",""
"","","MPL - Movimento Passe Livre","","",""
"","","MLB - Movimento de Luta
nos Bairros, Vilas e Favelas","","",""
"427","UCI9UhLCYUB8v82jdVvJMnuA","UNE - União Nacional dos Estudantes","uneoficial","317545","2920"
"","","CUT - Central Única dos
Trabalhadores","","",""
"156","UCmo_qwwtofscJjjND_Pm-UA","Levante Popular da Juventude","","213530","2705"
"242","UCmZp0eVq7fpxKHHvncJHSrg","Juntos","jornaljuntos","195991","954"
"41","UCXrqijOy0tezQ8_-0OCqAPw","MAIS","","12469","257"
"1","UCH2R0pAFyqnCtp253XVYq-w","Movimento Correnteza","","1200","77"
"56","UCz0799M83kYvb6qBkHxTWFQ","UJS - União da Juventude Socialista","","76452","1322"
"","","UJR Brasil","","",""
"","","Movimento de Mulheres Olga
Benário - Nacional","","",""
"","","Faísca - Anticapitalista e Revolucionária","","",""
"7","UCDyMmoCj1jvF8ooGs_SQbJg","Pão e Rosas Brasil","","278","2"
"","","MRT - Movimento Revolucionário
dos Trabalhadores","","",""
"","","UBES - União Brasileira 
Estudantes Secundaristas","","",""
"","","União da Juventude Comunista
 - UJC Brasil","","",""
"4","UCTSv82hMEIFnJjCOHzizVzw","RUA - Juventude Anticapitalista","","7335","95"
"","","Afronte","","",""
"","","União Brasileira de Mulheres UBM","","",""
"","","Movimento dos Atingidos 
por Barragens (MAB)","","",""
"193","UCfi7PCkseJNwGbaD0X-mAXA","Contag","ContagBrasil","74611","593"
"1","UCO9-aYrQfWP1Mm0A0hJdbMA","Geledés Mulher Negra","","220","302"
"120","UCh0Eth5qo5-S1IMigJhTLdg","Marcha das Mulheres","mulheresemmarcha","312336","806"
"30","UCLMp2AgzSZrEZhz1XzJXeXw","Não Me Khalo","","157751","3082"
"80","UCNORbWRHIwZuCiHz2Ukh6Nw","Vem Pra Rua","","73586","1938"
"869","UCVo8EvHIDfSaBQT3gSFUyxQ","Revoltados Online","revoltadosonline","7589757","42249"
"778","UCWU5PdQ9Ec5eZleRm6Qd-Ig","Estudantes Pela Liberdade","libertarianismoplus","5268149","44491"
"5","UCTLIxRJaYAtf44baTh0MN6A","Escola Sem Partido","","93248","695"
"","","Instituto Mercado Popular","","",""
"","","Libertarianismo +","","",""
"1126","UC8QAdpiEWAOg3AOCCFDCOYw","Movimento Brasil Livre","","35285208","305408"
"70","UCvo3PC2zBfG1IsCWVJVn6pw","Movimento Contra a Corrupção","canalcontracorrupcao","1671954","27172"
"","","Livres","","",""
"708","UCX9VzlP1DyeasSivEr9Eddw","Nas Ruas","nasruastv","2261897","20796"
"269","UCs6avCwreiI6QoFR83Ul2UQ","Lula","icidadania","2472809","9924"
"","","Fernando Haddad","","",""
"132","UCz0i4BaFbRuLun82sl5yWLw","Ciro Gomes","","1547732","18197"
"","","Dória","","",""
"","","Alckmin","","",""
"759","UC8hGUtfEgvvnp6IaHSAg1OQ","Bolsonaro","jbolsonaro","37360139","519361"
"","","Henrique Meirelles","","",""
"980","UCI1scpqZalSY96yDKAp0afQ","Temer","MichelTemer","420792","0"
"872","UC9uefWa6TXIPDRWGZYMcTuA","Marina Silva","msilvaonline","4282851","13301"
"344","UCHn-xluSQGIiknQ56iNTNdA","Levy Fidelix","","223083","2857"
"137","UClHDtWJ0HwBMD6j36C24w9A","Everaldo","BlogdoEveraldo","170405","491"
"","","Flávio Rocha","","",""
"23","UCLWVlQxY7Dc4OFhc08Qjf9A","Roberto Justus Ofici","robertoljustus","419982","1878"
"47","UCFwzvNKpQWKMbiOHJ26IEnQ","Guilherme Boulos","","10303","545"
"","","Jaques Wagner","","",""
"312","UCz05q_SCq3cTuH4DPaw8OSw","Fernando Collor de Mello","adicollor","298946","875"
"","","Celso Amorim","","",""
"305","UCnBgXZ4kWgrOY-6PA1A6PmQ","Cristovam Buarque","cristovambuarque","340967","2284"
"","","Joaquim Barbosa","","",""
