"username","view_count","actor","comment_count","channel_id","video_count","subscribers"
"","1857","Frente Brasil Popular","0","UCX2Aanu4fGewmhP4rf5GQ3Q","6","298"
"","","Frente Povo Sem Medo","","","",""
"","","# Ocupa Política","","","",""
"","7453","Movimento Agora!","0","UC5AH5khzIk15T0waSp-ayCg","107","173"
"","3737","Movimento Muitxs","0","UCVoyVm_HowbEYG7Wqptx5eA","4","90"
"","","Bancada Ativista","","","",""
"","","RenovaBR","","","",""
"","","Frente Nacional Contra a censura","","","",""
"","","Frente Autônoma LGBT","","","",""
"","","Frente Nacional pela legalização do aborto","","","",""
"midianinjafly","2160332","Mídia Ninja","1","UCwefw3viiiaxprsV6jgJvEA","414","47686"
"","311960","342 Artes","0","UCZFvLA3k9cw7nO-4r4FSOwA","180","4351"
"","22846","MTST - Movimento Trabalhadores Sem-Teto","0","UC3OzrZMhnmEgVtxpJoDRkeg","34","807"
"","","MST - Movimento dos Trabalhadores Sem Terra","","","",""
"","","MPL - Movimento Passe Livre","","","",""
"","","MLB - Movimento de Luta nos Bairros, Vilas e Favelas","","","",""
"uneoficial","317668","UNE - União Nacional dos Estudantes","3","UCI9UhLCYUB8v82jdVvJMnuA","427","2919"
"","","CUT - Central Única dos Trabalhadores","","","",""
"","213639","Levante Popular da Juventude","0","UCmo_qwwtofscJjjND_Pm-UA","156","2705"
"jornaljuntos","196031","Juntos","2","UCmZp0eVq7fpxKHHvncJHSrg","242","954"
"","12476","MAIS","0","UCXrqijOy0tezQ8_-0OCqAPw","41","257"
"","1203","Movimento Correnteza","0","UCH2R0pAFyqnCtp253XVYq-w","1","77"
"","76488","UJS - União da Juventude Socialista","0","UCz0799M83kYvb6qBkHxTWFQ","56","1327"
"","","UJR Brasil","","","",""
"","","Movimento de Mulheres Olga Benário - Nacional","","","",""
"","","Faísca - Anticapitalista e Revolucionária","","","",""
"","279","Pão e Rosas Brasil","0","UCDyMmoCj1jvF8ooGs_SQbJg","7","2"
"","","MRT - Movimento Revolucionário dos Trabalhadores","","","",""
"","","UBES - União Brasileira  Estudantes Secundaristas","","","",""
"","68334","União da Juventude Comunista - UJC Brasil","0","UCLTOw6dtkalzyBRXvUuEpTg","188","1751"
"","7336","RUA - Juventude Anticapitalista","0","UCTSv82hMEIFnJjCOHzizVzw","4","95"
"","","Afronte","","","",""
"","","União Brasileira de Mulheres UBM","","","",""
"mabcomunicacao","216135","Movimento dos Atingidos por Barragens (MAB)","1","UC3UDbLgGfCfxiHDc7m8faQQ","192","1041"
"ContagBrasil","74667","Contag","0","UCfi7PCkseJNwGbaD0X-mAXA","193","593"
"","262","Geledés Mulher Negra","0","UCO9-aYrQfWP1Mm0A0hJdbMA","1","315"
"mulheresemmarcha","312438","Marcha das Mulheres","5","UCh0Eth5qo5-S1IMigJhTLdg","120","805"
"","157856","Não Me Khalo","0","UCLMp2AgzSZrEZhz1XzJXeXw","30","3086"
"","73600","Vem Pra Rua","0","UCNORbWRHIwZuCiHz2Ukh6Nw","80","1937"
"revoltadosonline","7594513","Revoltados Online","29","UCVo8EvHIDfSaBQT3gSFUyxQ","868","42291"
"libertarianismoplus","5269746","Estudantes Pela Liberdade","42","UCWU5PdQ9Ec5eZleRm6Qd-Ig","778","44487"
"","93363","Escola Sem Partido","0","UCTLIxRJaYAtf44baTh0MN6A","5","695"
"","","Instituto Mercado Popular","","","",""
"","","Libertarianismo +","","","",""
"","35401427","Movimento Brasil Livre","0","UC8QAdpiEWAOg3AOCCFDCOYw","1128","305936"
"canalcontracorrupcao","1673259","Movimento Contra a Corrupção","11","UCvo3PC2zBfG1IsCWVJVn6pw","70","27179"
"","","Livres","","","",""
"nasruastv","2267226","Nas Ruas","7","UCX9VzlP1DyeasSivEr9Eddw","709","20838"
"icidadania","2473102","Lula","0","UCs6avCwreiI6QoFR83Ul2UQ","269","9931"
"","","Fernando Haddad","","","",""
"","1549948","Ciro Gomes","0","UCz0i4BaFbRuLun82sl5yWLw","132","18211"
"","","Dória","","","",""
"","","Alckmin","","","",""
"jbolsonaro","37387513","Bolsonaro","404","UC8hGUtfEgvvnp6IaHSAg1OQ","761","519531"
"","","Henrique Meirelles","","","",""
"MichelTemer","421169","Temer","0","UCI1scpqZalSY96yDKAp0afQ","983","0"
"msilvaonline","4284389","Marina Silva","475","UC9uefWa6TXIPDRWGZYMcTuA","872","13303"
"","223198","Levy Fidelix","0","UCHn-xluSQGIiknQ56iNTNdA","344","2871"
"BlogdoEveraldo","170444","Everaldo","0","UClHDtWJ0HwBMD6j36C24w9A","137","491"
"","","Flávio Rocha","","","",""
"robertoljustus","420118","Roberto Justus Ofici","12","UCLWVlQxY7Dc4OFhc08Qjf9A","23","1879"
"","11145","Guilherme Boulos","0","UCFwzvNKpQWKMbiOHJ26IEnQ","48","574"
"","","Jaques Wagner","","","",""
"adicollor","299052","Fernando Collor de Mello","0","UCz05q_SCq3cTuH4DPaw8OSw","312","875"
"","","Celso Amorim","","","",""
"cristovambuarque","","Cristovam Buarque","","UCnBgXZ4kWgrOY-6PA1A6PmQ","",""
"","","Joaquim Barbosa","","","",""
