"subscribers","view_count","channel_id","username","actor","comment_count","video_count"
"298","1857","UCX2Aanu4fGewmhP4rf5GQ3Q","","Frente Brasil Popular","0","6"
"","","","","Frente Povo Sem Medo","",""
"","","","","# Ocupa Política","",""
"173","7522","UC5AH5khzIk15T0waSp-ayCg","","Movimento Agora!","0","110"
"91","3740","UCVoyVm_HowbEYG7Wqptx5eA","","Movimento Muitxs","0","4"
"","","","","Bancada Ativista","",""
"","","","","RenovaBR","",""
"","","","","Frente Nacional Contra a censura","",""
"","","","","Frente Autônoma LGBT","",""
"","","","","Frente Nacional pela legalização do aborto","",""
"47934","2170635","UCwefw3viiiaxprsV6jgJvEA","midianinjafly","Mídia Ninja","1","414"
"4361","312465","UCZFvLA3k9cw7nO-4r4FSOwA","","342 Artes","0","180"
"814","22947","UC3OzrZMhnmEgVtxpJoDRkeg","","MTST - Movimento Trabalhadores Sem-Teto","0","34"
"","","","","MST - Movimento dos Trabalhadores Sem Terra","",""
"","","","","MPL - Movimento Passe Livre","",""
"","","","","MLB - Movimento de Luta nos Bairros, Vilas e Favelas","",""
"2921","317904","UCI9UhLCYUB8v82jdVvJMnuA","uneoficial","UNE - União Nacional dos Estudantes","3","427"
"","","","","CUT - Central Única dos Trabalhadores","",""
"2713","213821","UCmo_qwwtofscJjjND_Pm-UA","","Levante Popular da Juventude","0","156"
"955","196093","UCmZp0eVq7fpxKHHvncJHSrg","jornaljuntos","Juntos","2","242"
"257","12495","UCXrqijOy0tezQ8_-0OCqAPw","","MAIS","0","41"
"77","1207","UCH2R0pAFyqnCtp253XVYq-w","","Movimento Correnteza","0","1"
"1332","76571","UCz0799M83kYvb6qBkHxTWFQ","","UJS - União da Juventude Socialista","0","56"
"","","","","UJR Brasil","",""
"","","","","Movimento de Mulheres Olga Benário - Nacional","",""
"","","","","Faísca - Anticapitalista e Revolucionária","",""
"2","279","UCDyMmoCj1jvF8ooGs_SQbJg","","Pão e Rosas Brasil","0","7"
"","","","","MRT - Movimento Revolucionário dos Trabalhadores","",""
"","","","","UBES - União Brasileira  Estudantes Secundaristas","",""
"1756","68523","UCLTOw6dtkalzyBRXvUuEpTg","","União da Juventude Comunista - UJC Brasil","0","188"
"96","7336","UCTSv82hMEIFnJjCOHzizVzw","","RUA - Juventude Anticapitalista","0","4"
"","","","","Afronte","",""
"","","","","União Brasileira de Mulheres UBM","",""
"1042","216417","UC3UDbLgGfCfxiHDc7m8faQQ","mabcomunicacao","Movimento dos Atingidos por Barragens (MAB)","1","192"
"594","74808","UCfi7PCkseJNwGbaD0X-mAXA","ContagBrasil","Contag","0","193"
"345","313","UCO9-aYrQfWP1Mm0A0hJdbMA","","Geledés Mulher Negra","0","1"
"807","312600","UCh0Eth5qo5-S1IMigJhTLdg","mulheresemmarcha","Marcha das Mulheres","5","120"
"3088","158115","UCLMp2AgzSZrEZhz1XzJXeXw","","Não Me Khalo","0","30"
"1939","73621","UCNORbWRHIwZuCiHz2Ukh6Nw","","Vem Pra Rua","0","80"
"42377","7602740","UCVo8EvHIDfSaBQT3gSFUyxQ","revoltadosonline","Revoltados Online","29","869"
"44505","5273075","UCWU5PdQ9Ec5eZleRm6Qd-Ig","libertarianismoplus","Estudantes Pela Liberdade","42","778"
"699","93600","UCTLIxRJaYAtf44baTh0MN6A","","Escola Sem Partido","0","5"
"","","","","Instituto Mercado Popular","",""
"","","","","Libertarianismo +","",""
"306041","34033049","UC8QAdpiEWAOg3AOCCFDCOYw","","Movimento Brasil Livre","0","1131"
"27196","1675115","UCvo3PC2zBfG1IsCWVJVn6pw","canalcontracorrupcao","Movimento Contra a Corrupção","11","70"
"","","","","Livres","",""
"20907","2278590","UCX9VzlP1DyeasSivEr9Eddw","nasruastv","Nas Ruas","7","713"
"9934","2473538","UCs6avCwreiI6QoFR83Ul2UQ","icidadania","Lula","0","269"
"","","","","Fernando Haddad","",""
"18255","1553951","UCz0i4BaFbRuLun82sl5yWLw","","Ciro Gomes","0","132"
"","","","","Dória","",""
"","","","","Alckmin","",""
"520412","37470267","UC8hGUtfEgvvnp6IaHSAg1OQ","jbolsonaro","Bolsonaro","404","767"
"","","","","Henrique Meirelles","",""
"0","421763","UCI1scpqZalSY96yDKAp0afQ","MichelTemer","Temer","0","985"
"13316","4288357","UC9uefWa6TXIPDRWGZYMcTuA","msilvaonline","Marina Silva","475","872"
"2886","223406","UCHn-xluSQGIiknQ56iNTNdA","","Levy Fidelix","0","344"
"491","170499","UClHDtWJ0HwBMD6j36C24w9A","BlogdoEveraldo","Everaldo","0","137"
"","","","","Flávio Rocha","",""
"1879","420321","UCLWVlQxY7Dc4OFhc08Qjf9A","robertoljustus","Roberto Justus Ofici","12","23"
"1032","38291","UCFwzvNKpQWKMbiOHJ26IEnQ","","Guilherme Boulos","0","72"
"","","","","Jaques Wagner","",""
"878","299279","UCz05q_SCq3cTuH4DPaw8OSw","adicollor","Fernando Collor de Mello","0","314"
"","","","","Celso Amorim","",""
"2289","341206","UCnBgXZ4kWgrOY-6PA1A6PmQ","cristovambuarque","Cristovam Buarque","34","305"
"","","","","Joaquim Barbosa","",""
