"comment_count","channel_id","subscribers","view_count","video_count","actor","username"
"0","UCX2Aanu4fGewmhP4rf5GQ3Q","298","1862","6","Frente Brasil Popular",""
"","","","","","Frente Povo Sem Medo",""
"","","","","","# Ocupa Política",""
"0","UC5AH5khzIk15T0waSp-ayCg","173","7558","111","Movimento Agora!",""
"0","UCVoyVm_HowbEYG7Wqptx5eA","91","3743","4","Movimento Muitxs",""
"","","","","","Bancada Ativista",""
"","","","","","RenovaBR",""
"","","","","","Frente Nacional Contra a censura",""
"","","","","","Frente Autônoma LGBT",""
"","","","","","Frente Nacional pela legalização do aborto",""
"1","UCwefw3viiiaxprsV6jgJvEA","48061","2177959","415","Mídia Ninja","midianinjafly"
"0","UCZFvLA3k9cw7nO-4r4FSOwA","4362","312690","180","342 Artes",""
"0","UC3OzrZMhnmEgVtxpJoDRkeg","822","23033","34","MTST - Movimento Trabalhadores Sem-Teto",""
"","","","","","MST - Movimento dos Trabalhadores Sem Terra",""
"","","","","","MPL - Movimento Passe Livre",""
"","","","","","MLB - Movimento de Luta nos Bairros, Vilas e Favelas",""
"3","UCI9UhLCYUB8v82jdVvJMnuA","2926","318092","427","UNE - União Nacional dos Estudantes","uneoficial"
"","","","","","CUT - Central Única dos Trabalhadores",""
"0","UCmo_qwwtofscJjjND_Pm-UA","2716","213995","156","Levante Popular da Juventude",""
"2","UCmZp0eVq7fpxKHHvncJHSrg","954","196130","242","Juntos","jornaljuntos"
"0","UCXrqijOy0tezQ8_-0OCqAPw","256","12508","41","MAIS",""
"0","UCH2R0pAFyqnCtp253XVYq-w","77","1207","1","Movimento Correnteza",""
"0","UCz0799M83kYvb6qBkHxTWFQ","1331","76646","57","UJS - União da Juventude Socialista",""
"","","","","","UJR Brasil",""
"","","","","","Movimento de Mulheres Olga Benário - Nacional",""
"","","","","","Faísca - Anticapitalista e Revolucionária",""
"0","UCDyMmoCj1jvF8ooGs_SQbJg","2","279","7","Pão e Rosas Brasil",""
"","","","","","MRT - Movimento Revolucionário dos Trabalhadores",""
"","","","","","UBES - União Brasileira  Estudantes Secundaristas",""
"0","UCLTOw6dtkalzyBRXvUuEpTg","1757","68674","188","União da Juventude Comunista - UJC Brasil",""
"0","UCTSv82hMEIFnJjCOHzizVzw","96","7336","4","RUA - Juventude Anticapitalista",""
"","","","","","Afronte",""
"","","","","","União Brasileira de Mulheres UBM",""
"1","UC3UDbLgGfCfxiHDc7m8faQQ","1044","216581","192","Movimento dos Atingidos por Barragens (MAB)","mabcomunicacao"
"0","UCfi7PCkseJNwGbaD0X-mAXA","596","74910","193","Contag","ContagBrasil"
"0","UCO9-aYrQfWP1Mm0A0hJdbMA","363","344","1","Geledés Mulher Negra",""
"5","UCh0Eth5qo5-S1IMigJhTLdg","807","312758","120","Marcha das Mulheres","mulheresemmarcha"
"0","UCLMp2AgzSZrEZhz1XzJXeXw","3087","158338","30","Não Me Khalo",""
"0","UCNORbWRHIwZuCiHz2Ukh6Nw","1941","73631","80","Vem Pra Rua",""
"29","UCVo8EvHIDfSaBQT3gSFUyxQ","42399","7606201","869","Revoltados Online","revoltadosonline"
"42","UCWU5PdQ9Ec5eZleRm6Qd-Ig","44511","5274729","778","Estudantes Pela Liberdade","libertarianismoplus"
"0","UCTLIxRJaYAtf44baTh0MN6A","701","93752","5","Escola Sem Partido",""
"","","","","","Instituto Mercado Popular",""
"","","","","","Libertarianismo +",""
"0","UC8QAdpiEWAOg3AOCCFDCOYw","306521","34168718","1133","Movimento Brasil Livre",""
"11","UCvo3PC2zBfG1IsCWVJVn6pw","27202","1676353","70","Movimento Contra a Corrupção","canalcontracorrupcao"
"","","","","","Livres",""
"7","UCX9VzlP1DyeasSivEr9Eddw","20919","2282442","713","Nas Ruas","nasruastv"
"0","UCs6avCwreiI6QoFR83Ul2UQ","9936","2473812","269","Lula","icidadania"
"","","","","","Fernando Haddad",""
"0","UCz0i4BaFbRuLun82sl5yWLw","18268","1555687","132","Ciro Gomes",""
"","","","","","Dória",""
"","","","","","Alckmin",""
"404","UC8hGUtfEgvvnp6IaHSAg1OQ","520716","37525805","771","Bolsonaro","jbolsonaro"
"","","","","","Henrique Meirelles",""
"0","UCI1scpqZalSY96yDKAp0afQ","0","422029","985","Temer","MichelTemer"
"475","UC9uefWa6TXIPDRWGZYMcTuA","13321","4289567","873","Marina Silva","msilvaonline"
"0","UCHn-xluSQGIiknQ56iNTNdA","2890","223509","344","Levy Fidelix",""
"0","UClHDtWJ0HwBMD6j36C24w9A","491","170540","137","Everaldo","BlogdoEveraldo"
"","","","","","Flávio Rocha",""
"12","UCLWVlQxY7Dc4OFhc08Qjf9A","1880","420459","23","Roberto Justus Ofici","robertoljustus"
"0","UCFwzvNKpQWKMbiOHJ26IEnQ","1148","46183","72","Guilherme Boulos",""
"","","","","","Jaques Wagner",""
"0","UCz05q_SCq3cTuH4DPaw8OSw","879","299411","314","Fernando Collor de Mello","adicollor"
"","","","","","Celso Amorim",""
"34","UCnBgXZ4kWgrOY-6PA1A6PmQ","2290","341287","305","Cristovam Buarque","cristovambuarque"
"","","","","","Joaquim Barbosa",""
