"video_count","actor","comment_count","username","subscribers","view_count","channel_id"
"6","Frente Brasil Popular","0","","298","1864","UCX2Aanu4fGewmhP4rf5GQ3Q"
"","Frente Povo Sem Medo","","","","",""
"","# Ocupa Política","","","","",""
"111","Movimento Agora!","0","","173","7579","UC5AH5khzIk15T0waSp-ayCg"
"4","Movimento Muitxs","0","","91","3743","UCVoyVm_HowbEYG7Wqptx5eA"
"","Bancada Ativista","","","","",""
"","RenovaBR","","","","",""
"","Frente Nacional Contra a censura","","","","",""
"","Frente Autônoma LGBT","","","","",""
"","Frente Nacional pela legalização do aborto","","","","",""
"416","Mídia Ninja","1","midianinjafly","48150","2184151","UCwefw3viiiaxprsV6jgJvEA"
"180","342 Artes","0","","4362","312820","UCZFvLA3k9cw7nO-4r4FSOwA"
"34","MTST - Movimento Trabalhadores Sem-Teto","0","","828","23095","UC3OzrZMhnmEgVtxpJoDRkeg"
"","MST - Movimento dos Trabalhadores Sem Terra","","","","",""
"","MPL - Movimento Passe Livre","","","","",""
"","MLB - Movimento de Luta nos Bairros, Vilas e Favelas","","","","",""
"427","UNE - União Nacional dos Estudantes","3","uneoficial","2926","318229","UCI9UhLCYUB8v82jdVvJMnuA"
"","CUT - Central Única dos Trabalhadores","","","","",""
"156","Levante Popular da Juventude","0","","2717","214103","UCmo_qwwtofscJjjND_Pm-UA"
"242","Juntos","2","jornaljuntos","955","196148","UCmZp0eVq7fpxKHHvncJHSrg"
"41","MAIS","0","","256","12528","UCXrqijOy0tezQ8_-0OCqAPw"
"1","Movimento Correnteza","0","","77","1208","UCH2R0pAFyqnCtp253XVYq-w"
"57","UJS - União da Juventude Socialista","0","","1332","76688","UCz0799M83kYvb6qBkHxTWFQ"
"","UJR Brasil","","","","",""
"","Movimento de Mulheres Olga Benário - Nacional","","","","",""
"","Faísca - Anticapitalista e Revolucionária","","","","",""
"7","Pão e Rosas Brasil","0","","2","279","UCDyMmoCj1jvF8ooGs_SQbJg"
"","MRT - Movimento Revolucionário dos Trabalhadores","","","","",""
"","UBES - União Brasileira  Estudantes Secundaristas","","","","",""
"188","União da Juventude Comunista - UJC Brasil","0","","1759","68812","UCLTOw6dtkalzyBRXvUuEpTg"
"4","RUA - Juventude Anticapitalista","0","","96","7336","UCTSv82hMEIFnJjCOHzizVzw"
"","Afronte","","","","",""
"","União Brasileira de Mulheres UBM","","","","",""
"192","Movimento dos Atingidos por Barragens (MAB)","1","mabcomunicacao","1045","216723","UC3UDbLgGfCfxiHDc7m8faQQ"
"193","Contag","0","ContagBrasil","597","74947","UCfi7PCkseJNwGbaD0X-mAXA"
"1","Geledés Mulher Negra","0","","376","365","UCO9-aYrQfWP1Mm0A0hJdbMA"
"120","Marcha das Mulheres","5","mulheresemmarcha","807","312869","UCh0Eth5qo5-S1IMigJhTLdg"
"30","Não Me Khalo","0","","3088","158473","UCLMp2AgzSZrEZhz1XzJXeXw"
"80","Vem Pra Rua","0","","1942","73639","UCNORbWRHIwZuCiHz2Ukh6Nw"
"869","Revoltados Online","29","revoltadosonline","42433","7610425","UCVo8EvHIDfSaBQT3gSFUyxQ"
"778","Estudantes Pela Liberdade","42","libertarianismoplus","44510","5275862","UCWU5PdQ9Ec5eZleRm6Qd-Ig"
"5","Escola Sem Partido","0","","701","93832","UCTLIxRJaYAtf44baTh0MN6A"
"","Instituto Mercado Popular","","","","",""
"","Libertarianismo +","","","","",""
"1135","Movimento Brasil Livre","0","","307201","34282229","UC8QAdpiEWAOg3AOCCFDCOYw"
"70","Movimento Contra a Corrupção","11","canalcontracorrupcao","27215","1677559","UCvo3PC2zBfG1IsCWVJVn6pw"
"","Livres","","","","",""
"717","Nas Ruas","7","nasruastv","20991","2288885","UCX9VzlP1DyeasSivEr9Eddw"
"269","Lula","0","icidadania","9943","2474052","UCs6avCwreiI6QoFR83Ul2UQ"
"","Fernando Haddad","","","","",""
"132","Ciro Gomes","0","","18282","1557179","UCz0i4BaFbRuLun82sl5yWLw"
"","Dória","","","","",""
"","Alckmin","","","","",""
"772","Bolsonaro","404","jbolsonaro","521129","37560289","UC8hGUtfEgvvnp6IaHSAg1OQ"
"","Henrique Meirelles","","","","",""
"985","Temer","0","MichelTemer","0","422254","UCI1scpqZalSY96yDKAp0afQ"
"873","Marina Silva","475","msilvaonline","13330","4290393","UC9uefWa6TXIPDRWGZYMcTuA"
"344","Levy Fidelix","0","","2898","223605","UCHn-xluSQGIiknQ56iNTNdA"
"137","Everaldo","0","BlogdoEveraldo","491","170572","UClHDtWJ0HwBMD6j36C24w9A"
"","Flávio Rocha","","","","",""
"23","Roberto Justus Ofici","12","robertoljustus","1883","420540","UCLWVlQxY7Dc4OFhc08Qjf9A"
"72","Guilherme Boulos","0","","1224","51610","UCFwzvNKpQWKMbiOHJ26IEnQ"
"","Jaques Wagner","","","","",""
"314","Fernando Collor de Mello","0","adicollor","878","299520","UCz05q_SCq3cTuH4DPaw8OSw"
"","Celso Amorim","","","","",""
"305","Cristovam Buarque","34","cristovambuarque","2292","341370","UCnBgXZ4kWgrOY-6PA1A6PmQ"
"","Joaquim Barbosa","","","","",""
