"view_count","comment_count","actor","username","subscribers","channel_id","video_count"
"1864","0","Frente Brasil Popular","","299","UCX2Aanu4fGewmhP4rf5GQ3Q","6"
"","","Frente Povo Sem Medo","","","",""
"","","# Ocupa Política","","","",""
"7600","0","Movimento Agora!","","173","UC5AH5khzIk15T0waSp-ayCg","112"
"3744","0","Movimento Muitxs","","91","UCVoyVm_HowbEYG7Wqptx5eA","4"
"","","Bancada Ativista","","","",""
"","","RenovaBR","","","",""
"","","Frente Nacional Contra a censura","","","",""
"","","Frente Autônoma LGBT","","","",""
"","","Frente Nacional pela legalização do aborto","","","",""
"2190347","1","Mídia Ninja","midianinjafly","48214","UCwefw3viiiaxprsV6jgJvEA","417"
"312949","0","342 Artes","","4364","UCZFvLA3k9cw7nO-4r4FSOwA","180"
"23149","0","MTST - Movimento Trabalhadores Sem-Teto","","832","UC3OzrZMhnmEgVtxpJoDRkeg","34"
"","","MST - Movimento dos Trabalhadores Sem Terra","","","",""
"","","MPL - Movimento Passe Livre","","","",""
"","","MLB - Movimento de Luta nos Bairros, Vilas e Favelas","","","",""
"318319","3","UNE - União Nacional dos Estudantes","uneoficial","2929","UCI9UhLCYUB8v82jdVvJMnuA","427"
"","","CUT - Central Única dos Trabalhadores","","","",""
"214173","0","Levante Popular da Juventude","","2718","UCmo_qwwtofscJjjND_Pm-UA","156"
"196181","2","Juntos","jornaljuntos","955","UCmZp0eVq7fpxKHHvncJHSrg","242"
"12531","0","MAIS","","256","UCXrqijOy0tezQ8_-0OCqAPw","41"
"1209","0","Movimento Correnteza","","77","UCH2R0pAFyqnCtp253XVYq-w","1"
"76738","0","UJS - União da Juventude Socialista","","1334","UCz0799M83kYvb6qBkHxTWFQ","57"
"","","UJR Brasil","","","",""
"","","Movimento de Mulheres Olga Benário - Nacional","","","",""
"","","Faísca - Anticapitalista e Revolucionária","","","",""
"279","0","Pão e Rosas Brasil","","2","UCDyMmoCj1jvF8ooGs_SQbJg","7"
"","","MRT - Movimento Revolucionário dos Trabalhadores","","","",""
"","","UBES - União Brasileira  Estudantes Secundaristas","","","",""
"68901","0","União da Juventude Comunista - UJC Brasil","","1759","UCLTOw6dtkalzyBRXvUuEpTg","188"
"7336","0","RUA - Juventude Anticapitalista","","96","UCTSv82hMEIFnJjCOHzizVzw","4"
"","","Afronte","","","",""
"","","União Brasileira de Mulheres UBM","","","",""
"216836","1","Movimento dos Atingidos por Barragens (MAB)","mabcomunicacao","1046","UC3UDbLgGfCfxiHDc7m8faQQ","192"
"74997","0","Contag","ContagBrasil","598","UCfi7PCkseJNwGbaD0X-mAXA","193"
"385","0","Geledés Mulher Negra","","392","UCO9-aYrQfWP1Mm0A0hJdbMA","1"
"312967","5","Marcha das Mulheres","mulheresemmarcha","807","UCh0Eth5qo5-S1IMigJhTLdg","120"
"158580","0","Não Me Khalo","","3090","UCLMp2AgzSZrEZhz1XzJXeXw","30"
"73641","0","Vem Pra Rua","","1946","UCNORbWRHIwZuCiHz2Ukh6Nw","80"
"7612542","29","Revoltados Online","revoltadosonline","42447","UCVo8EvHIDfSaBQT3gSFUyxQ","869"
"5277115","42","Estudantes Pela Liberdade","libertarianismoplus","44513","UCWU5PdQ9Ec5eZleRm6Qd-Ig","778"
"93937","0","Escola Sem Partido","","701","UCTLIxRJaYAtf44baTh0MN6A","5"
"","","Instituto Mercado Popular","","","",""
"","","Libertarianismo +","","","",""
"34412281","0","Movimento Brasil Livre","","307658","UC8QAdpiEWAOg3AOCCFDCOYw","1137"
"1678318","11","Movimento Contra a Corrupção","canalcontracorrupcao","27233","UCvo3PC2zBfG1IsCWVJVn6pw","70"
"","","Livres","","","",""
"2295227","7","Nas Ruas","nasruastv","21153","UCX9VzlP1DyeasSivEr9Eddw","717"
"2474268","0","Lula","icidadania","9947","UCs6avCwreiI6QoFR83Ul2UQ","269"
"","","Fernando Haddad","","","",""
"1558153","0","Ciro Gomes","","18296","UCz0i4BaFbRuLun82sl5yWLw","132"
"","","Dória","","","",""
"","","Alckmin","","","",""
"37591229","404","Bolsonaro","jbolsonaro","521418","UC8hGUtfEgvvnp6IaHSAg1OQ","772"
"","","Henrique Meirelles","","","",""
"422406","0","Temer","MichelTemer","0","UCI1scpqZalSY96yDKAp0afQ","985"
"4291000","475","Marina Silva","msilvaonline","13332","UC9uefWa6TXIPDRWGZYMcTuA","873"
"223684","0","Levy Fidelix","","2904","UCHn-xluSQGIiknQ56iNTNdA","344"
"170616","0","Everaldo","BlogdoEveraldo","492","UClHDtWJ0HwBMD6j36C24w9A","137"
"","","Flávio Rocha","","","",""
"420652","12","Roberto Justus Ofici","robertoljustus","1884","UCLWVlQxY7Dc4OFhc08Qjf9A","23"
"53738","0","Guilherme Boulos","","1248","UCFwzvNKpQWKMbiOHJ26IEnQ","72"
"","","Jaques Wagner","","","",""
"299598","0","Fernando Collor de Mello","adicollor","879","UCz05q_SCq3cTuH4DPaw8OSw","315"
"","","Celso Amorim","","","",""
"341403","34","Cristovam Buarque","cristovambuarque","2292","UCnBgXZ4kWgrOY-6PA1A6PmQ","305"
"","","Joaquim Barbosa","","","",""
