"video_count","actor","subscribers","comment_count","view_count","channel_id","username"
"6","Frente Brasil Popular","299","0","1864","UCX2Aanu4fGewmhP4rf5GQ3Q",""
"","Frente Povo Sem Medo","","","","",""
"","# Ocupa Política","","","","",""
"113","Movimento Agora!","174","0","7620","UC5AH5khzIk15T0waSp-ayCg",""
"4","Movimento Muitxs","91","0","3747","UCVoyVm_HowbEYG7Wqptx5eA",""
"","Bancada Ativista","","","","",""
"","RenovaBR","","","","",""
"","Frente Nacional Contra a censura","","","","",""
"","Frente Autônoma LGBT","","","","",""
"","Frente Nacional pela legalização do aborto","","","","",""
"417","Mídia Ninja","48273","1","2194101","UCwefw3viiiaxprsV6jgJvEA","midianinjafly"
"180","342 Artes","4367","0","313077","UCZFvLA3k9cw7nO-4r4FSOwA",""
"34","MTST - Movimento Trabalhadores Sem-Teto","835","0","23186","UC3OzrZMhnmEgVtxpJoDRkeg",""
"","MST - Movimento dos Trabalhadores Sem Terra","","","","",""
"","MPL - Movimento Passe Livre","","","","",""
"","MLB - Movimento de Luta nos Bairros, Vilas e Favelas","","","","",""
"427","UNE - União Nacional dos Estudantes","2931","3","318465","UCI9UhLCYUB8v82jdVvJMnuA","uneoficial"
"","CUT - Central Única dos Trabalhadores","","","","",""
"156","Levante Popular da Juventude","2719","0","214265","UCmo_qwwtofscJjjND_Pm-UA",""
"242","Juntos","955","2","196210","UCmZp0eVq7fpxKHHvncJHSrg","jornaljuntos"
"41","MAIS","256","0","12540","UCXrqijOy0tezQ8_-0OCqAPw",""
"1","Movimento Correnteza","77","0","1212","UCH2R0pAFyqnCtp253XVYq-w",""
"57","UJS - União da Juventude Socialista","1334","0","76806","UCz0799M83kYvb6qBkHxTWFQ",""
"","UJR Brasil","","","","",""
"","Movimento de Mulheres Olga Benário - Nacional","","","","",""
"","Faísca - Anticapitalista e Revolucionária","","","","",""
"7","Pão e Rosas Brasil","2","0","279","UCDyMmoCj1jvF8ooGs_SQbJg",""
"","MRT - Movimento Revolucionário dos Trabalhadores","","","","",""
"","UBES - União Brasileira  Estudantes Secundaristas","","","","",""
"188","União da Juventude Comunista - UJC Brasil","1759","0","68997","UCLTOw6dtkalzyBRXvUuEpTg",""
"4","RUA - Juventude Anticapitalista","96","0","7336","UCTSv82hMEIFnJjCOHzizVzw",""
"","Afronte","","","","",""
"","União Brasileira de Mulheres UBM","","","","",""
"192","Movimento dos Atingidos por Barragens (MAB)","1047","1","216919","UC3UDbLgGfCfxiHDc7m8faQQ","mabcomunicacao"
"193","Contag","597","0","75061","UCfi7PCkseJNwGbaD0X-mAXA","ContagBrasil"
"1","Geledés Mulher Negra","401","0","414","UCO9-aYrQfWP1Mm0A0hJdbMA",""
"120","Marcha das Mulheres","807","5","313058","UCh0Eth5qo5-S1IMigJhTLdg","mulheresemmarcha"
"30","Não Me Khalo","3092","0","158786","UCLMp2AgzSZrEZhz1XzJXeXw",""
"80","Vem Pra Rua","1949","0","73651","UCNORbWRHIwZuCiHz2Ukh6Nw",""
"869","Revoltados Online","42450","29","7614254","UCVo8EvHIDfSaBQT3gSFUyxQ","revoltadosonline"
"778","Estudantes Pela Liberdade","44517","42","5278285","UCWU5PdQ9Ec5eZleRm6Qd-Ig","libertarianismoplus"
"5","Escola Sem Partido","701","0","93984","UCTLIxRJaYAtf44baTh0MN6A",""
"","Instituto Mercado Popular","","","","",""
"","Libertarianismo +","","","","",""
"1105","Movimento Brasil Livre","308240","0","34561991","UC8QAdpiEWAOg3AOCCFDCOYw",""
"70","Movimento Contra a Corrupção","27240","11","1679446","UCvo3PC2zBfG1IsCWVJVn6pw","canalcontracorrupcao"
"","Livres","","","","",""
"718","Nas Ruas","21185","7","2298015","UCX9VzlP1DyeasSivEr9Eddw","nasruastv"
"269","Lula","9948","0","2474457","UCs6avCwreiI6QoFR83Ul2UQ","icidadania"
"","Fernando Haddad","","","","",""
"132","Ciro Gomes","18296","0","1559344","UCz0i4BaFbRuLun82sl5yWLw",""
"","Dória","","","","",""
"","Alckmin","","","","",""
"773","Bolsonaro","521636","404","37611067","UC8hGUtfEgvvnp6IaHSAg1OQ","jbolsonaro"
"","Henrique Meirelles","","","","",""
"987","Temer","0","0","422602","UCI1scpqZalSY96yDKAp0afQ","MichelTemer"
"873","Marina Silva","13336","475","4291549","UC9uefWa6TXIPDRWGZYMcTuA","msilvaonline"
"344","Levy Fidelix","2906","0","223742","UCHn-xluSQGIiknQ56iNTNdA",""
"137","Everaldo","492","0","170645","UClHDtWJ0HwBMD6j36C24w9A","BlogdoEveraldo"
"","Flávio Rocha","","","","",""
"23","Roberto Justus Ofici","1884","12","420737","UCLWVlQxY7Dc4OFhc08Qjf9A","robertoljustus"
"72","Guilherme Boulos","1267","0","55467","UCFwzvNKpQWKMbiOHJ26IEnQ",""
"","Jaques Wagner","","","","",""
"315","Fernando Collor de Mello","880","0","299693","UCz05q_SCq3cTuH4DPaw8OSw","adicollor"
"","Celso Amorim","","","","",""
"305","Cristovam Buarque","2292","34","341438","UCnBgXZ4kWgrOY-6PA1A6PmQ","cristovambuarque"
"","Joaquim Barbosa","","","","",""
