"actor","username","channel_id","subscribers","video_count","view_count","comment_count"
"Frente Brasil Popular","","UCX2Aanu4fGewmhP4rf5GQ3Q","301","6","1864","0"
"Frente Povo Sem Medo","","","","","",""
"# Ocupa Política","","","","","",""
"Movimento Agora!","","UC5AH5khzIk15T0waSp-ayCg","174","115","7665","0"
"Movimento Muitxs","","UCVoyVm_HowbEYG7Wqptx5eA","91","4","3748","0"
"Bancada Ativista","","","","","",""
"RenovaBR","","","","","",""
"Frente Nacional Contra a censura","","","","","",""
"Frente Autônoma LGBT","","","","","",""
"Frente Nacional pela legalização do aborto","","","","","",""
"Mídia Ninja","midianinjafly","UCwefw3viiiaxprsV6jgJvEA","48375","417","2200155","1"
"342 Artes","","UCZFvLA3k9cw7nO-4r4FSOwA","4382","180","313461","0"
"MTST - Movimento Trabalhadores Sem-Teto","","UC3OzrZMhnmEgVtxpJoDRkeg","841","34","23292","0"
"MST - Movimento dos Trabalhadores Sem Terra","","","","","",""
"MPL - Movimento Passe Livre","","","","","",""
"MLB - Movimento de Luta nos Bairros, Vilas e Favelas","","","","","",""
"UNE - União Nacional dos Estudantes","uneoficial","UCI9UhLCYUB8v82jdVvJMnuA","2934","427","318661","3"
"CUT - Central Única dos Trabalhadores","","","","","",""
"Levante Popular da Juventude","","UCmo_qwwtofscJjjND_Pm-UA","2726","156","214355","0"
"Juntos","jornaljuntos","UCmZp0eVq7fpxKHHvncJHSrg","956","242","196242","2"
"MAIS","","UCXrqijOy0tezQ8_-0OCqAPw","256","41","12547","0"
"Movimento Correnteza","","UCH2R0pAFyqnCtp253XVYq-w","78","1","1215","0"
"UJS - União da Juventude Socialista","","UCz0799M83kYvb6qBkHxTWFQ","1338","57","76862","0"
"UJR Brasil","","","","","",""
"Movimento de Mulheres Olga Benário - Nacional","","","","","",""
"Faísca - Anticapitalista e Revolucionária","","","","","",""
"Pão e Rosas Brasil","","UCDyMmoCj1jvF8ooGs_SQbJg","2","7","279","0"
"MRT - Movimento Revolucionário dos Trabalhadores","","","","","",""
"UBES - União Brasileira  Estudantes Secundaristas","","","","","",""
"União da Juventude Comunista - UJC Brasil","","UCLTOw6dtkalzyBRXvUuEpTg","1762","188","69131","0"
"RUA - Juventude Anticapitalista","","UCTSv82hMEIFnJjCOHzizVzw","96","4","7336","0"
"Afronte","","","","","",""
"União Brasileira de Mulheres UBM","","","","","",""
"Movimento dos Atingidos por Barragens (MAB)","mabcomunicacao","UC3UDbLgGfCfxiHDc7m8faQQ","1050","192","217103","1"
"Contag","ContagBrasil","UCfi7PCkseJNwGbaD0X-mAXA","599","193","75186","0"
"Geledés Mulher Negra","","UCO9-aYrQfWP1Mm0A0hJdbMA","411","1","439","0"
"Marcha das Mulheres","mulheresemmarcha","UCh0Eth5qo5-S1IMigJhTLdg","808","120","313188","5"
"Não Me Khalo","","UCLMp2AgzSZrEZhz1XzJXeXw","3092","30","159019","0"
"Vem Pra Rua","","UCNORbWRHIwZuCiHz2Ukh6Nw","1951","80","73661","0"
"Revoltados Online","revoltadosonline","UCVo8EvHIDfSaBQT3gSFUyxQ","42481","869","7616928","29"
"Estudantes Pela Liberdade","libertarianismoplus","UCWU5PdQ9Ec5eZleRm6Qd-Ig","44532","778","5280403","42"
"Escola Sem Partido","","UCTLIxRJaYAtf44baTh0MN6A","701","5","94118","0"
"Instituto Mercado Popular","","","","","",""
"Libertarianismo +","","","","","",""
"Movimento Brasil Livre","","UC8QAdpiEWAOg3AOCCFDCOYw","309260","1108","34392522","0"
"Movimento Contra a Corrupção","canalcontracorrupcao","UCvo3PC2zBfG1IsCWVJVn6pw","27264","70","1681749","11"
"Livres","","","","","",""
"Nas Ruas","nasruastv","UCX9VzlP1DyeasSivEr9Eddw","21234","720","2303435","7"
"Lula","icidadania","UCs6avCwreiI6QoFR83Ul2UQ","9953","269","2474723","0"
"Fernando Haddad","","","","","",""
"Ciro Gomes","","UCz0i4BaFbRuLun82sl5yWLw","18320","132","1561470","0"
"Dória","","","","","",""
"Alckmin","","","","","",""
"Bolsonaro","jbolsonaro","UC8hGUtfEgvvnp6IaHSAg1OQ","522286","777","37673180","404"
"Henrique Meirelles","","","","","",""
"Temer","MichelTemer","UCI1scpqZalSY96yDKAp0afQ","0","993","423054","0"
"Marina Silva","msilvaonline","UC9uefWa6TXIPDRWGZYMcTuA","13348","873","4292407","475"
"Levy Fidelix","","UCHn-xluSQGIiknQ56iNTNdA","2911","344","223852","0"
"Everaldo","BlogdoEveraldo","UClHDtWJ0HwBMD6j36C24w9A","493","137","170708","0"
"Flávio Rocha","","","","","",""
"Roberto Justus Ofici","robertoljustus","UCLWVlQxY7Dc4OFhc08Qjf9A","1884","23","420897","12"
"Guilherme Boulos","","UCFwzvNKpQWKMbiOHJ26IEnQ","1311","72","58966","0"
"Jaques Wagner","","","","","",""
"Fernando Collor de Mello","adicollor","UCz05q_SCq3cTuH4DPaw8OSw","883","315","299863","0"
"Celso Amorim","","","","","",""
"Cristovam Buarque","cristovambuarque","UCnBgXZ4kWgrOY-6PA1A6PmQ","2293","305","341511","34"
"Joaquim Barbosa","","","","","",""
