"actor","username","channel_id","subscribers","video_count","view_count"
"Frente Brasil Popular","","UCX2Aanu4fGewmhP4rf5GQ3Q","294","6","1853"
"Frente Povo Sem Medo","","","","",""
"# Ocupa Política","","","","",""
"Movimento Agora!","","UC5AH5khzIk15T0waSp-ayCg","168","100","7211"
"Movimento Muitxs","","UCVoyVm_HowbEYG7Wqptx5eA","91","4","3724"
"Bancada Ativista","","","","",""
"RenovaBR","","","","",""
"Frente Nacional Contra a censura","","","","",""
"Frente Autônoma LGBT","","","","",""
"Frente Nacional pela legalização do aborto","","","","",""
"Mídia Ninja","midianinjafly","UCwefw3viiiaxprsV6jgJvEA","46915","412","2133369"
"342 Artes","","UCZFvLA3k9cw7nO-4r4FSOwA","4335","180","310478"
"MTST - Movimento 
Trabalhadores Sem-Teto","","","","",""
"MST - Movimento dos
Trabalhadores Sem Terra","","","","",""
"MPL - Movimento Passe Livre","","","","",""
"MLB - Movimento de Luta
nos Bairros, Vilas e Favelas","","","","",""
"UNE - União Nacional dos Estudantes","uneoficial","UCI9UhLCYUB8v82jdVvJMnuA","2918","427","316732"
"CUT - Central Única dos
Trabalhadores","","","","",""
"Levante Popular da Juventude","","UCmo_qwwtofscJjjND_Pm-UA","2684","156","212911"
"Juntos","jornaljuntos","UCmZp0eVq7fpxKHHvncJHSrg","955","242","195871"
"MAIS","","UCXrqijOy0tezQ8_-0OCqAPw","257","41","12414"
"Movimento Correnteza","","UCH2R0pAFyqnCtp253XVYq-w","75","1","1176"
"UJS - União da Juventude Socialista","","UCz0799M83kYvb6qBkHxTWFQ","1305","56","76106"
"UJR Brasil","","","","",""
"Movimento de Mulheres Olga
Benário - Nacional","","","","",""
"Faísca - Anticapitalista e Revolucionária","","","","",""
"Pão e Rosas Brasil","","UCDyMmoCj1jvF8ooGs_SQbJg","2","7","278"
"MRT - Movimento Revolucionário
dos Trabalhadores","","","","",""
"UBES - União Brasileira 
Estudantes Secundaristas","","","","",""
"União da Juventude Comunista
 - UJC Brasil","","","","",""
"RUA - Juventude Anticapitalista","","UCTSv82hMEIFnJjCOHzizVzw","95","4","7334"
"Afronte","","","","",""
"União Brasileira de Mulheres UBM","","","","",""
"Movimento dos Atingidos 
por Barragens (MAB)","","","","",""
"Contag","ContagBrasil","UCfi7PCkseJNwGbaD0X-mAXA","589","193","74266"
"Geledés Mulher Negra","","UCO9-aYrQfWP1Mm0A0hJdbMA","188","0","0"
"Marcha das Mulheres","mulheresemmarcha","UCh0Eth5qo5-S1IMigJhTLdg","807","120","311767"
"Não Me Khalo","","UCLMp2AgzSZrEZhz1XzJXeXw","3074","30","157108"
"Vem Pra Rua","","UCNORbWRHIwZuCiHz2Ukh6Nw","1920","80","73417"
"Revoltados Online","revoltadosonline","UCVo8EvHIDfSaBQT3gSFUyxQ","42154","861","7573528"
"Estudantes Pela Liberdade","libertarianismoplus","UCWU5PdQ9Ec5eZleRm6Qd-Ig","44453","778","5260765"
"Escola Sem Partido","","UCTLIxRJaYAtf44baTh0MN6A","688","5","92655"
"Instituto Mercado Popular","","","","",""
"Libertarianismo +","","","","",""
"Movimento Brasil Livre","","UC8QAdpiEWAOg3AOCCFDCOYw","299917","1119","34465625"
"Movimento Contra a Corrupção","canalcontracorrupcao","UCvo3PC2zBfG1IsCWVJVn6pw","27053","70","1666124"
"Livres","","","","",""
"Nas Ruas","nasruastv","UCX9VzlP1DyeasSivEr9Eddw","19963","701","2231946"
"Lula","icidadania","UCs6avCwreiI6QoFR83Ul2UQ","9881","269","2471030"
"Fernando Haddad","","","","",""
"Ciro Gomes","","UCz0i4BaFbRuLun82sl5yWLw","17962","132","1536395"
"Dória","","","","",""
"Alckmin","","","","",""
"Bolsonaro","jbolsonaro","UC8hGUtfEgvvnp6IaHSAg1OQ","517472","749","37140120"
"Henrique Meirelles","","","","",""
"Temer","MichelTemer","UCI1scpqZalSY96yDKAp0afQ","0","979","419167"
"Marina Silva","msilvaonline","UC9uefWa6TXIPDRWGZYMcTuA","13239","872","4278576"
"Levy Fidelix","","UCHn-xluSQGIiknQ56iNTNdA","2839","344","222693"
"Everaldo","BlogdoEveraldo","UClHDtWJ0HwBMD6j36C24w9A","491","137","170189"
"Flávio Rocha","","","","",""
"Roberto Justus Ofici","robertoljustus","UCLWVlQxY7Dc4OFhc08Qjf9A","1873","23","419383"
"Guilherme Boulos","","UCFwzvNKpQWKMbiOHJ26IEnQ","417","43","5510"
"Jaques Wagner","","","","",""
"Fernando Collor de Mello","adicollor","UCz05q_SCq3cTuH4DPaw8OSw","873","312","298210"
"Celso Amorim","","","","",""
"Cristovam Buarque","cristovambuarque","UCnBgXZ4kWgrOY-6PA1A6PmQ","2286","305","340413"
"Joaquim Barbosa","","","","",""
